id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
3PfvRBNy3J23eLxDp5iZd4,100 Bars & Gunnin,49,0.743,0.753,7,-7.584,1,0.28,0.00176,0,0.189,0.531,94.064,122553,4,mem_2
2f0VlO0xSJtgt2jkmOJzhT,9 Carrots,43,0.658,0.645,9,-7.323,0,0.113,0.0274,0.0311,0.106,0.55,79.244,181272,4,mem_2
0V3zk01d9ihHcXv1S3h7yQ,Son Of Serpentine,44,0.878,0.821,1,-6.766,1,0.2,0.00166,0.000166,0.0612,0.818,164.995,104727,4,mem_2
6ZyEkJUOrNJhM2ysyK71hw,Daddy Aioli Interlude,53,0.541,0.483,9,-9.712,0,0.217,0.737,0,0.306,0.263,107.855,85453,4,mem_2
1oUbYmF4SYYHorKY1wKo0K,Dream Dream Dream,59,0.372,0.555,4,-6.509,1,0.0332,0.13,1.26E-06,0.181,0.192,64.913,234933,4,mem_2
5h3uwxELUVyVpMuLXjdKKV,Spontaneous,51,0.645,0.791,5,-8.051,0,0.0384,0.0693,0.935,0.23,0.039,114.477,128647,4,mem_2
45DVlz0NtoU21E2yEr9ZUI,Twist Of Fate/ Cobra,42,0.52,0.934,3,-4.426,1,0.0621,0.000475,4.23E-05,0.0719,0.317,95.923,250032,4,mem_2
5OO7ybh0GQlXslHX4U4Vgr,CAROLMART FEAT. ICE BILLION BERG,57,0.736,0.671,1,-7.764,1,0.0505,0.00535,0,0.108,0.505,155.131,164120,4,mem_2
4Mqfhqtb5WmondLWYsCCrz,The Boys Are Back In Town,69,0.853,0.701,8,-5.908,1,0.34,0.212,0,0.142,0.643,155.069,147907,4,mem_2
2S9r3he7RP6j6ptiQGVW6Y,Kids,59,0.635,0.694,1,-3.549,1,0.159,0.0596,0,0.141,0.398,85.809,270131,4,mem_2
0tjsoAZfZO2kTrGbfOBuMt,Fast Lane,40,0.591,0.928,6,-3.166,0,0.118,0.000342,0.0541,0.372,0.827,82.03,181463,4,mem_2
6HUFOiTIGCizkemQxhQTao,Gravy For Pope,62,0.666,0.673,6,-7.906,1,0.218,0.437,1.74E-06,0.137,0.377,148.098,175960,4,mem_2
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,86,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,190067,4,mem_2
2FTOLKjQUswhpdMFq15Raf,SPEEDBOAT,70,0.925,0.628,6,-7.587,1,0.131,0.0604,0,0.358,0.81,120.021,222533,4,mem_2
3xaugmCyXrVkrDTXbFkMW3,Sanctuary,83,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,180019,4,mem_2
6fTt0CH2t0mdeB2N9XFG5r,Panini,93,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4,mem_2
0RQIpoZGnHOqA6pJXw22Sy,BULLETPROOF SHOWER CAP,48,0.726,0.735,10,-7.507,1,0.189,0.185,3.29E-06,0.368,0.539,77.511,114581,4,mem_2
