id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
0XPsOSYzDJZJArevQNm2AR,Speechless (Full),79,0.474,0.489,6,-7.625,0,0.0342,0.467,0,0.119,0.23,124.844,208801,4,mem_4
1D6lK8qADoErTTLkY4YBfM,Everytime,67,0.513,0.729,10,-4.307,1,0.0309,0.476,0,0.186,0.505,89.934,189356,4,mem_4
1n8OcweHlwX1NM7xqNCNw4,Boku Ga Shinou To Omottanowa,36,0.546,0.567,8,-6.9,1,0.0276,0.0913,8.43E-06,0.0969,0.384,167.769,380560,4,mem_4
2AIWoHr9DF6y4KALCBKWQS,IDOL,77,0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,222732,4,mem_4
5NkpsRKvSBukdYQtl3WLZW,Talk Love,60,0.604,0.83,1,-2.333,0,0.0287,0.353,0,0.0995,0.568,102.043,216556,4,mem_4
56bHclo7YNvpujMveLElQn,Forever Young,70,0.6,0.96,4,-1.807,1,0.095,0.0426,0,0.0882,0.503,109.863,237077,4,mem_4
1R2yvuqRbC5tpKfsbL1fiA,Oysters,25,0.419,0.0703,7,-18.285,1,0.0417,0.983,8.25E-05,0.107,0.148,121.082,160213,4,mem_4
3DrjZArsPsoqbLzUZZV1Id,Back To December,61,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,293027,4,mem_4
06K7eV1ZasY3pGvP4PgKy5,Paradise Hotel,15,0.535,0.245,7,-16.373,1,0.0252,0.751,0.00488,0.109,0.357,80.994,246400,4,mem_4
0TK2YIli7K1leLovkQiNik,Señorita,97,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,mem_4
2SU94Rw5csEmWpBW0l5iAx,Any Other World,37,0.506,0.252,3,-11.576,1,0.0325,0.849,8.43E-05,0.119,0.288,131.918,259200,4,mem_4
3p6hnejEQYXkiTO1lAzVc0,Euphoria,78,0.637,0.799,2,-4.519,1,0.0338,0.394,0,0.0921,0.562,104.995,228615,4,mem_4
