id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
21jGcNKet2qwijlDFuPiPb,Circles,100,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4,global
6EOKwHETwSkZ9gW2b6ASE0,Ransom,79,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,4,global
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,90,0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,150867,4,global
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),74,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,4,global
3NkJNL3WqO1Lqc3uNDxvCN,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),88,0.643,0.721,1,-5.248,1,0.0449,0.00268,6.51E-06,0.0898,0.317,102.914,190107,4,global
0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),89,0.542,0.674,6,-4.169,1,0.21,0.0588,0,0.0955,0.667,76.388,196760,4,global
7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),92,0.499,0.8,1,-2.665,0,0.0502,0.0906,0,0.147,0.272,139.919,229573,4,global
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,92,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4,global
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,88,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4,global
7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,89,0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,156267,4,global
6v3KW9xbzN5yKLt9YKDYA2,Señorita,89,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4,global
2C6WXnmZ66tHhHlnvwePiK,Die For Me (feat. Future & Halsey),86,0.614,0.66,0,-2.848,1,0.0441,0.19,0,0.211,0.452,145.01,245267,4,global
1000nHvUdawXuUHgBod4Wv,Panini,84,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4,global
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),88,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,260640,4,global
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),91,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427,4,global
12Fkyg9lpmaz2zmKOfw2Y2,On The Road (feat. Meek Mill & Lil Baby),86,0.442,0.737,7,-5.046,1,0.109,0.0589,0,0.102,0.21,112.93,218320,5,global
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4,global
