id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,audio_features,0Ryd8975WihbObpp5cPW1t,spotify:track:0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,186107,4,mem_3
5hQSXkFgbxjZo9uCwd11so,False God,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,audio_features,5hQSXkFgbxjZo9uCwd11so,spotify:track:5hQSXkFgbxjZo9uCwd11so,https://api.spotify.com/v1/tracks/5hQSXkFgbxjZo9uCwd11so,https://api.spotify.com/v1/audio-analysis/5hQSXkFgbxjZo9uCwd11so,200307,4,mem_3
5RIe5M5m6p0gNMNYju8edX,Superior Emotion,0.678,0.604,1,-6.854,1,0.0461,0.444,0.000994,0.137,0.404,144.017,audio_features,5RIe5M5m6p0gNMNYju8edX,spotify:track:5RIe5M5m6p0gNMNYju8edX,https://api.spotify.com/v1/tracks/5RIe5M5m6p0gNMNYju8edX,https://api.spotify.com/v1/audio-analysis/5RIe5M5m6p0gNMNYju8edX,206028,4,mem_3
1B0BQaSRHxhI0AUlItY3LK,MALAMENTE - Cap.1: Augurio,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,audio_features,1B0BQaSRHxhI0AUlItY3LK,spotify:track:1B0BQaSRHxhI0AUlItY3LK,https://api.spotify.com/v1/tracks/1B0BQaSRHxhI0AUlItY3LK,https://api.spotify.com/v1/audio-analysis/1B0BQaSRHxhI0AUlItY3LK,150027,4,mem_3
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,audio_features,6ZRuF2n1CQxyxxAAWsKJOy,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,https://api.spotify.com/v1/tracks/6ZRuF2n1CQxyxxAAWsKJOy,https://api.spotify.com/v1/audio-analysis/6ZRuF2n1CQxyxxAAWsKJOy,201788,4,mem_3
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4,mem_3
3JPXFD2aJ4dHPMnGwo41bO,Hurt Again,0.826,0.701,4,-4.176,0,0.0495,0.251,1.74e-06,0.0936,0.784,129.977,audio_features,3JPXFD2aJ4dHPMnGwo41bO,spotify:track:3JPXFD2aJ4dHPMnGwo41bO,https://api.spotify.com/v1/tracks/3JPXFD2aJ4dHPMnGwo41bO,https://api.spotify.com/v1/audio-analysis/3JPXFD2aJ4dHPMnGwo41bO,202320,4,mem_3
1vYh9x8UmFTLbXiizk9Qc5,I Believe,0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,audio_features,1vYh9x8UmFTLbXiizk9Qc5,spotify:track:1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/tracks/1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/audio-analysis/1vYh9x8UmFTLbXiizk9Qc5,217533,4,mem_3
5p7ujcrUXASCNwRaWNHR1C,Without Me,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,5p7ujcrUXASCNwRaWNHR1C,spotify:track:5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,201661,4,mem_3
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,0.382,0.589,9,-7.315,0,0.0267,0.0465,0,0.122,0.335,140.059,audio_features,7Ewz6bJ97vUqk5HdkvguFQ,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/tracks/7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/audio-analysis/7Ewz6bJ97vUqk5HdkvguFQ,243360,4,mem_3
