id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),94,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186107,4,mem_1
5hQSXkFgbxjZo9uCwd11so,False God,81,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4,mem_1
5RIe5M5m6p0gNMNYju8edX,Superior Emotion,52,0.678,0.604,1,-6.854,1,0.0461,0.444,0.000994,0.137,0.404,144.017,206028,4,mem_1
1B0BQaSRHxhI0AUlItY3LK,MALAMENTE - Cap.1: Augurio,75,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,150027,4,mem_1
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),80,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4,mem_1
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),79,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,mem_1
3JPXFD2aJ4dHPMnGwo41bO,Hurt Again,73,0.826,0.701,4,-4.176,0,0.0495,0.251,1.74E-06,0.0936,0.784,129.977,202320,4,mem_1
1vYh9x8UmFTLbXiizk9Qc5,I Believe,75,0.749,0.774,9,-6.221,1,0.12,0.0857,1.14E-05,0.11,0.35,99.019,217533,4,mem_1
5p7ujcrUXASCNwRaWNHR1C,Without Me,89,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,201661,4,mem_1
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,76,0.382,0.589,9,-7.315,0,0.0267,0.0465,0,0.122,0.335,140.059,243360,4,mem_1
6V9fHiv84WlVTg7CSnIVY2,Graveyard,88,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48E-05,0.181,0.187,92.043,181806,4,mem_1
