name,popularity,danceability,energy,valence,tempo,team_member_id
boyfriend (with Social House),94,0.4,0.795,0.702,190.097,mem_1
False God,81,0.739,0.32,0.351,79.97,mem_1
Superior Emotion,52,0.678,0.604,0.404,144.017,mem_1
MALAMENTE - Cap.1: Augurio,75,0.893,0.482,0.53,97.975,mem_1
Nights Like This (feat. Ty Dolla $ign),80,0.61,0.725,0.291,146.163,mem_1
All The Stars (with SZA),79,0.698,0.633,0.552,96.924,mem_1
Hurt Again,73,0.826,0.701,0.784,129.977,mem_1
I Believe,75,0.749,0.774,0.35,99.019,mem_1
Without Me,89,0.752,0.488,0.533,136.041,mem_1
Heaven,76,0.382,0.589,0.335,140.059,mem_1
Graveyard,88,0.667,0.583,0.187,92.043,mem_1
Ishq Ka Haafiz,41,0.707,0.723,0.695,142.494,mem_1
Dive Deep,36,0.652,0.829,0.622,138.101,mem_1
Venice Bitch,78,0.404,0.298,0.315,78.815,mem_1
Golden Hour,69,0.611,0.555,0.413,88.969,mem_1
Happy & Sad,65,0.642,0.657,0.658,90,mem_1
MOOD 4 EVA (feat. Oumou Sangar�),73,0.608,0.709,0.709,105.742,mem_1
Hakuna Matata,72,0.53,0.584,0.575,81.854,mem_1
Fuck it I love you,81,0.532,0.452,0.203,129.895,mem_1
Lovers,60,0.599,0.518,0.455,95.031,mem_1
pictures (feat. Kacey Musgraves),54,0.567,0.542,0.229,125.16,mem_1
100 Letters,58,0.745,0.713,0.376,110.052,mem_1
Don't Forget Me,36,0.382,0.686,0.103,105.247,mem_1
Baba O'Riley - ConfidentialMX Remix,57,0.293,0.369,0.221,117.652,mem_1
Wonder Woman,62,0.669,0.653,0.528,104.995,mem_1
Haunting,60,0.461,0.696,0.311,180.006,mem_1
"i hate u, i love u (feat. olivia o'brien)",81,0.492,0.275,0.18,92.6,mem_1
Six Feet Under,79,0.583,0.301,0.176,67.448,mem_1
Bound Together,40,0.534,0.455,0.197,151.864,mem_1
bloodline,76,0.758,0.665,0.643,151.976,mem_1
We Talk all the Time,51,0.685,0.623,0.446,89.999,mem_1
Why,68,0.689,0.416,0.248,127.031,mem_1
All These Years,71,0.732,0.436,0.475,94.852,mem_1
How My Heart Behaves,25,0.563,0.351,0.139,115.055,mem_1
Se�orita,100,0.759,0.54,0.75,116.947,mem_1
More Than That,62,0.595,0.442,0.297,48.702,mem_1
ghostin,74,0.287,0.364,0.11,103.777,mem_1
Maybe You're the Reason,57,0.621,0.762,0.395,95.014,mem_1
Empire State of Mind (Part II) Broken Down,73,0.479,0.368,0.142,92.959,mem_1
Cool Blue,52,0.386,0.576,0.512,180.022,mem_1
All Over Me,27,0.626,0.387,0.155,139.766,mem_1
Haunt You,57,0.658,0.458,0.29,91.914,mem_1
Brillo,72,0.535,0.384,0.767,145.947,mem_1
Lover,81,0.359,0.543,0.453,68.534,mem_1
Raat Ka Nasha,38,0.59,0.596,0.692,83.113,mem_1
Haunt You,64,0.658,0.458,0.29,91.914,mem_1
Reflecting Light,49,0.475,0.229,0.107,106.755,mem_1
Afterglow,82,0.756,0.449,0.399,111.011,mem_1
PIENSO EN TU MIR� - Cap.3: Celos,68,0.647,0.676,0.41,164.51,mem_1
Circle of Life/Nants' Ingonyama,68,0.297,0.518,0.496,81.425,mem_1
Saiyaara,45,0.659,0.665,0.692,93.012,mem_1
