id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
0TK2YIli7K1leLovkQiNik,Señorita,97,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960,4,mem_3
5cF0dROlMOK5uNZtivgu50,Attention,83,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,208787,4,mem_3
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore,72,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,4,mem_3
7jvk8xmmSANi6qpKoLXtQG,Tere Liye,41,0.695,0.351,7,-9.92,0,0.0406,0.265,2.09E-06,0.111,0.113,124.001,229408,4,mem_3
5R7HpWXej6SiCrd9YJsC5g,Bang Bang,58,0.703,0.678,4,-8.644,0,0.0417,0.0478,7.02E-05,0.496,0.694,120.051,320000,4,mem_3
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",78,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,4,mem_3
3Pd9B446fptwiv1pD3ZzK7,Naina Banjare,26,0.585,0.62,10,-7.407,0,0.0402,0.0486,0,0.193,0.302,76.967,211558,4,mem_3
5ZNWQ3GAz7ctU5rYmW81MV,"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)",50,0.746,0.782,6,-6.192,0,0.0397,0.277,4.70E-06,0.108,0.665,98.976,214510,4,mem_3
6wmAHw1szh5RCKSRjiXhPe,How Long,76,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,200853,4,mem_3
6AtKfYDHipY2MxCQfYXhEZ,Garaj Baras (Live),28,0.491,0.87,2,-10.172,0,0.213,0.00988,0.00114,0.716,0.326,121.888,465625,4,mem_3
2Jnk3brMWlPTYqAC7fZLqx,Yeh Rishta,9,0.357,0.642,4,-8.507,1,0.0737,0.61,0.000131,0.0773,0.442,84.258,279467,4,mem_3
3vxy9D4qd7TO4j6Gi2zmXo,Vaseegara,48,0.694,0.293,11,-16.278,0,0.0431,0.595,0.0154,0.132,0.637,143.804,299147,4,mem_3
