,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
popularity,1.0,0.14270354224180878,-0.2585752267169059,-0.07874679033237925,-0.15697912636799916,0.07855546177791836,0.05167142535840406,0.24559714909758557,-0.06371188558067511,-0.1689052348801724,-0.020167797468872043,0.020884526522070516,-0.1721803774594531,-0.06841545862817329
danceability,0.14270354224180878,1.0,-0.14589641103138598,0.09151588531320623,-0.18600767249066133,0.13584277044568394,0.3157957000214641,0.028779688867421976,-0.10510782988959336,-0.15389734501576047,0.41783909785169615,0.0014676230810495806,-0.37620642676109106,0.11003974894108218
energy,-0.2585752267169059,-0.14589641103138598,1.0,0.05433188350075766,0.6163207157662416,0.016031470182837113,-0.06891575464182005,-0.3296719324356043,-0.12624307055149503,0.19108189568089154,0.17289142220765152,0.11088537053677103,0.17819180380348235,0.005690798907890523
key,-0.07874679033237925,0.09151588531320623,0.05433188350075766,1.0,0.03390378466322265,-0.17982435277764514,-0.09814069036387713,-0.06704237627400104,0.09556151198557533,0.027354462710590634,0.20890069276140882,-0.10303275068175301,-0.018007716864426256,0.1492005146173296
loudness,-0.15697912636799916,-0.18600767249066133,0.6163207157662416,0.03390378466322265,1.0,-0.02349753658572543,-0.24374142081875472,-0.40368148939581877,-0.06638326220658182,-0.018866158807538905,0.06102167881231719,0.13611010474945662,0.17159398138681578,0.14669872866765926
mode,0.07855546177791836,0.13584277044568394,0.016031470182837113,-0.17982435277764514,-0.02349753658572543,1.0,0.22297081455153395,-0.09939638318114494,-0.03908311972544467,-0.0643987956949986,-0.030404613908952844,0.030423677890493384,-0.056006927418427256,-0.045275198117402674
speechiness,0.05167142535840406,0.3157957000214641,-0.06891575464182005,-0.09814069036387713,-0.24374142081875472,0.22297081455153395,1.0,0.15074246239945144,-0.240581243572576,-0.028263802349437806,0.08331857263629537,0.11598782705464793,-0.3210780304492371,0.09555215662602883
acousticness,0.24559714909758557,0.028779688867421976,-0.3296719324356043,-0.06704237627400104,-0.40368148939581877,-0.09939638318114494,0.15074246239945144,1.0,0.008218437798967877,0.12216729546877043,0.011960874065355846,-0.0929875285487242,-0.22715053475517485,-0.3743471964810006
instrumentalness,-0.06371188558067511,-0.10510782988959336,-0.12624307055149503,0.09556151198557533,-0.06638326220658182,-0.03908311972544467,-0.240581243572576,0.008218437798967877,1.0,-0.17539902997031187,-0.009614712490637287,-0.07201171602152083,0.07095560609240753,0.0005465802780321463
liveness,-0.1689052348801724,-0.15389734501576047,0.19108189568089154,0.027354462710590634,-0.018866158807538905,-0.0643987956949986,-0.028263802349437806,0.12216729546877043,-0.17539902997031187,1.0,-0.040330773158665595,-0.17682469666464856,-0.03460896780837051,-0.07362609557481478
valence,-0.020167797468872043,0.41783909785169615,0.17289142220765152,0.20890069276140882,0.06102167881231719,-0.030404613908952844,0.08331857263629537,0.011960874065355846,-0.009614712490637287,-0.040330773158665595,1.0,0.060122836713783476,-0.14483751167317205,0.15977318680900687
tempo,0.020884526522070516,0.0014676230810495806,0.11088537053677103,-0.10303275068175301,0.13611010474945662,0.030423677890493384,0.11598782705464793,-0.0929875285487242,-0.07201171602152083,-0.17682469666464856,0.060122836713783476,1.0,-0.09486895910087591,0.02903828583002416
duration_ms,-0.1721803774594531,-0.37620642676109106,0.17819180380348235,-0.018007716864426256,0.17159398138681578,-0.056006927418427256,-0.3210780304492371,-0.22715053475517485,0.07095560609240753,-0.03460896780837051,-0.14483751167317205,-0.09486895910087591,1.0,0.03911065424152396
time_signature,-0.06841545862817329,0.11003974894108218,0.005690798907890523,0.1492005146173296,0.14669872866765926,-0.045275198117402674,0.09555215662602883,-0.3743471964810006,0.0005465802780321463,-0.07362609557481478,0.15977318680900687,0.02903828583002416,0.03911065424152396,1.0
