id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0XPsOSYzDJZJArevQNm2AR,Speechless (Full),0.474,0.489,6,-7.625,0,0.0342,0.467,0,0.119,0.23,124.844,audio_features,0XPsOSYzDJZJArevQNm2AR,spotify:track:0XPsOSYzDJZJArevQNm2AR,https://api.spotify.com/v1/tracks/0XPsOSYzDJZJArevQNm2AR,https://api.spotify.com/v1/audio-analysis/0XPsOSYzDJZJArevQNm2AR,208801,4,mem_1
1D6lK8qADoErTTLkY4YBfM,Everytime,0.513,0.729,10,-4.307,1,0.0309,0.476,0,0.186,0.505,89.934,audio_features,1D6lK8qADoErTTLkY4YBfM,spotify:track:1D6lK8qADoErTTLkY4YBfM,https://api.spotify.com/v1/tracks/1D6lK8qADoErTTLkY4YBfM,https://api.spotify.com/v1/audio-analysis/1D6lK8qADoErTTLkY4YBfM,189356,4,mem_1
1n8OcweHlwX1NM7xqNCNw4,Boku Ga Shinou To Omottanowa,0.546,0.567,8,-6.9,1,0.0276,0.0913,8.43e-06,0.0969,0.384,167.769,audio_features,1n8OcweHlwX1NM7xqNCNw4,spotify:track:1n8OcweHlwX1NM7xqNCNw4,https://api.spotify.com/v1/tracks/1n8OcweHlwX1NM7xqNCNw4,https://api.spotify.com/v1/audio-analysis/1n8OcweHlwX1NM7xqNCNw4,380560,4,mem_1
2AIWoHr9DF6y4KALCBKWQS,IDOL,0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,audio_features,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/audio-analysis/2AIWoHr9DF6y4KALCBKWQS,222732,4,mem_1
5NkpsRKvSBukdYQtl3WLZW,Talk Love,0.604,0.83,1,-2.333,0,0.0287,0.353,0,0.0995,0.568,102.043,audio_features,5NkpsRKvSBukdYQtl3WLZW,spotify:track:5NkpsRKvSBukdYQtl3WLZW,https://api.spotify.com/v1/tracks/5NkpsRKvSBukdYQtl3WLZW,https://api.spotify.com/v1/audio-analysis/5NkpsRKvSBukdYQtl3WLZW,216556,4,mem_1
56bHclo7YNvpujMveLElQn,Forever Young,0.6,0.96,4,-1.807,1,0.095,0.0426,0,0.0882,0.503,109.863,audio_features,56bHclo7YNvpujMveLElQn,spotify:track:56bHclo7YNvpujMveLElQn,https://api.spotify.com/v1/tracks/56bHclo7YNvpujMveLElQn,https://api.spotify.com/v1/audio-analysis/56bHclo7YNvpujMveLElQn,237077,4,mem_1
1R2yvuqRbC5tpKfsbL1fiA,Oysters,0.419,0.0703,7,-18.285,1,0.0417,0.983,8.25e-05,0.107,0.148,121.082,audio_features,1R2yvuqRbC5tpKfsbL1fiA,spotify:track:1R2yvuqRbC5tpKfsbL1fiA,https://api.spotify.com/v1/tracks/1R2yvuqRbC5tpKfsbL1fiA,https://api.spotify.com/v1/audio-analysis/1R2yvuqRbC5tpKfsbL1fiA,160213,4,mem_1
3DrjZArsPsoqbLzUZZV1Id,Back To December,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,audio_features,3DrjZArsPsoqbLzUZZV1Id,spotify:track:3DrjZArsPsoqbLzUZZV1Id,https://api.spotify.com/v1/tracks/3DrjZArsPsoqbLzUZZV1Id,https://api.spotify.com/v1/audio-analysis/3DrjZArsPsoqbLzUZZV1Id,293027,4,mem_1
06K7eV1ZasY3pGvP4PgKy5,Paradise Hotel,0.535,0.245,7,-16.373,1,0.0252,0.751,0.00488,0.109,0.357,80.994,audio_features,06K7eV1ZasY3pGvP4PgKy5,spotify:track:06K7eV1ZasY3pGvP4PgKy5,https://api.spotify.com/v1/tracks/06K7eV1ZasY3pGvP4PgKy5,https://api.spotify.com/v1/audio-analysis/06K7eV1ZasY3pGvP4PgKy5,246400,4,mem_1
0TK2YIli7K1leLovkQiNik,Señorita,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4,mem_1
2SU94Rw5csEmWpBW0l5iAx,Any Other World,0.506,0.252,3,-11.576,1,0.0325,0.849,8.43e-05,0.119,0.288,131.918,audio_features,2SU94Rw5csEmWpBW0l5iAx,spotify:track:2SU94Rw5csEmWpBW0l5iAx,https://api.spotify.com/v1/tracks/2SU94Rw5csEmWpBW0l5iAx,https://api.spotify.com/v1/audio-analysis/2SU94Rw5csEmWpBW0l5iAx,259200,4,mem_1
3p6hnejEQYXkiTO1lAzVc0,Euphoria,0.637,0.799,2,-4.519,1,0.0338,0.394,0,0.0921,0.562,104.995,audio_features,3p6hnejEQYXkiTO1lAzVc0,spotify:track:3p6hnejEQYXkiTO1lAzVc0,https://api.spotify.com/v1/tracks/3p6hnejEQYXkiTO1lAzVc0,https://api.spotify.com/v1/audio-analysis/3p6hnejEQYXkiTO1lAzVc0,228615,4,mem_1
01gUlvzAPiwB9Ekq9kGVCM,Anpanman,0.813,0.875,1,-2.92,0,0.0918,0.0237,0,0.288,0.756,99.004,audio_features,01gUlvzAPiwB9Ekq9kGVCM,spotify:track:01gUlvzAPiwB9Ekq9kGVCM,https://api.spotify.com/v1/tracks/01gUlvzAPiwB9Ekq9kGVCM,https://api.spotify.com/v1/audio-analysis/01gUlvzAPiwB9Ekq9kGVCM,232966,4,mem_1
0oTtnnedK0C4unALxVTPhz,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,audio_features,0oTtnnedK0C4unALxVTPhz,spotify:track:0oTtnnedK0C4unALxVTPhz,https://api.spotify.com/v1/tracks/0oTtnnedK0C4unALxVTPhz,https://api.spotify.com/v1/audio-analysis/0oTtnnedK0C4unALxVTPhz,248965,5,mem_1
1OBb2wZMXKNmtdyyejLIyL,Uh-Oh,0.781,0.814,11,-3.315,0,0.0648,0.0586,0,0.118,0.782,92.037,audio_features,1OBb2wZMXKNmtdyyejLIyL,spotify:track:1OBb2wZMXKNmtdyyejLIyL,https://api.spotify.com/v1/tracks/1OBb2wZMXKNmtdyyejLIyL,https://api.spotify.com/v1/audio-analysis/1OBb2wZMXKNmtdyyejLIyL,207600,4,mem_1
1RvQQGwaPipiNgz8RXAKA8,Red,0.609,0.888,1,-4.183,0,0.0466,0.0856,0.000142,0.0924,0.623,124.966,audio_features,1RvQQGwaPipiNgz8RXAKA8,spotify:track:1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/tracks/1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/audio-analysis/1RvQQGwaPipiNgz8RXAKA8,220827,4,mem_1
1ZPMLCzCwIvLbMFWvYiw4H,See U Later,0.741,0.926,9,-3.968,0,0.112,0.0376,0,0.582,0.571,106.99,audio_features,1ZPMLCzCwIvLbMFWvYiw4H,spotify:track:1ZPMLCzCwIvLbMFWvYiw4H,https://api.spotify.com/v1/tracks/1ZPMLCzCwIvLbMFWvYiw4H,https://api.spotify.com/v1/audio-analysis/1ZPMLCzCwIvLbMFWvYiw4H,198867,4,mem_1
1xgGzG8Qailc0ps1cYsYHU,My First Kiss,0.68,0.865,1,-2.686,1,0.0401,0.447,0,0.0546,0.894,145.013,audio_features,1xgGzG8Qailc0ps1cYsYHU,spotify:track:1xgGzG8Qailc0ps1cYsYHU,https://api.spotify.com/v1/tracks/1xgGzG8Qailc0ps1cYsYHU,https://api.spotify.com/v1/audio-analysis/1xgGzG8Qailc0ps1cYsYHU,195843,4,mem_1
2ZdEU0Ys9frp2y0Z950jWR,The Sound,0.632,0.57,2,-7.341,1,0.0944,0.636,0.000347,0.0815,0.612,80.636,audio_features,2ZdEU0Ys9frp2y0Z950jWR,spotify:track:2ZdEU0Ys9frp2y0Z950jWR,https://api.spotify.com/v1/tracks/2ZdEU0Ys9frp2y0Z950jWR,https://api.spotify.com/v1/audio-analysis/2ZdEU0Ys9frp2y0Z950jWR,171160,4,mem_1
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.723,124.043,audio_features,2bJvI42r8EF3wxjOuDav4r,spotify:track:2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/tracks/2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/audio-analysis/2bJvI42r8EF3wxjOuDav4r,229360,4,mem_1
