id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,team_member_id
0TK2YIli7K1leLovkQiNik,Señorita,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4,mem_4
5cF0dROlMOK5uNZtivgu50,Attention,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,audio_features,5cF0dROlMOK5uNZtivgu50,spotify:track:5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,208787,4,mem_4
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,audio_features,37FXw5QGFN7uwwsLy8uAc0,spotify:track:37FXw5QGFN7uwwsLy8uAc0,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,217707,4,mem_4
7jvk8xmmSANi6qpKoLXtQG,Tere Liye,0.695,0.351,7,-9.92,0,0.0406,0.265,2.09e-06,0.111,0.113,124.001,audio_features,7jvk8xmmSANi6qpKoLXtQG,spotify:track:7jvk8xmmSANi6qpKoLXtQG,https://api.spotify.com/v1/tracks/7jvk8xmmSANi6qpKoLXtQG,https://api.spotify.com/v1/audio-analysis/7jvk8xmmSANi6qpKoLXtQG,229408,4,mem_4
5R7HpWXej6SiCrd9YJsC5g,Bang Bang,0.703,0.678,4,-8.644,0,0.0417,0.0478,7.02e-05,0.496,0.694,120.051,audio_features,5R7HpWXej6SiCrd9YJsC5g,spotify:track:5R7HpWXej6SiCrd9YJsC5g,https://api.spotify.com/v1/tracks/5R7HpWXej6SiCrd9YJsC5g,https://api.spotify.com/v1/audio-analysis/5R7HpWXej6SiCrd9YJsC5g,320000,4,mem_4
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,audio_features,4gMgiXfqyzZLMhsksGmbQV,spotify:track:4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV,238747,4,mem_4
3Pd9B446fptwiv1pD3ZzK7,Naina Banjare,0.585,0.62,10,-7.407,0,0.0402,0.0486,0,0.193,0.302,76.967,audio_features,3Pd9B446fptwiv1pD3ZzK7,spotify:track:3Pd9B446fptwiv1pD3ZzK7,https://api.spotify.com/v1/tracks/3Pd9B446fptwiv1pD3ZzK7,https://api.spotify.com/v1/audio-analysis/3Pd9B446fptwiv1pD3ZzK7,211558,4,mem_4
5ZNWQ3GAz7ctU5rYmW81MV,"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)",0.746,0.782,6,-6.192,0,0.0397,0.277,4.7e-06,0.108,0.665,98.976,audio_features,5ZNWQ3GAz7ctU5rYmW81MV,spotify:track:5ZNWQ3GAz7ctU5rYmW81MV,https://api.spotify.com/v1/tracks/5ZNWQ3GAz7ctU5rYmW81MV,https://api.spotify.com/v1/audio-analysis/5ZNWQ3GAz7ctU5rYmW81MV,214510,4,mem_4
6wmAHw1szh5RCKSRjiXhPe,How Long,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,audio_features,6wmAHw1szh5RCKSRjiXhPe,spotify:track:6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,200853,4,mem_4
6AtKfYDHipY2MxCQfYXhEZ,Garaj Baras (Live),0.491,0.87,2,-10.172,0,0.213,0.00988,0.00114,0.716,0.326,121.888,audio_features,6AtKfYDHipY2MxCQfYXhEZ,spotify:track:6AtKfYDHipY2MxCQfYXhEZ,https://api.spotify.com/v1/tracks/6AtKfYDHipY2MxCQfYXhEZ,https://api.spotify.com/v1/audio-analysis/6AtKfYDHipY2MxCQfYXhEZ,465625,4,mem_4
